Date,midas_GDP_YoY_Quarterly_China_signal,midas_GDP_YoY_Quarterly_US_signal,midas_US-CPU_x_signal,midas_US_CPI_NSA_YoY_Monthly_signal,midas_CN-CPI_YoY_Monthly_signal,midas_US-TPU_signal,midas_CN-EPU_signal,midas_Monthly_HKEPU_Index_signal,midas_CN-TPU_signal,midas_GEPU_ppp_signal,midas_US-EPU-News_Based_Index_signal,midas_US-MPU_Access_World_News_signal,midas_CA-US_signal,midas_CA-CN_signal,midas_US_EMPLOYMENT_RATIO_signal,midas_FER-Growth_Rate-US_signal,midas_FER-Growth_Rate-CN_signal,midas_CN-Currency_supply_M2_millionUSD_signal,midas_US-Currency_supply_M2_millionUSD_signal
2018-08-25,6.865891862259788,3.462326909639342,167.09300137779454,2.723768836002588,1.9258181724784726,532.5796344041828,244.58091590645978,114.46403919361696,421.5474225731294,178.54254886262726,153.81454222100078,34.68266967759429,-32710.13669072466,-1482.860315267583,79.33814970164592,-1.1220048965357912,-0.19275994293526724,27033484.757338163,14052898.418861274
2018-08-26,6.865891862259788,3.462326909639342,167.09300137779454,2.723768836002588,1.9258181724784726,532.5796344041828,244.58091590645978,114.46403919361696,421.5474225731294,178.54254886262726,153.81454222100078,34.68266967759429,-32710.13669072466,-1482.860315267583,79.33814970164592,-1.1220048965357912,-0.19275994293526724,27033484.757338163,14052898.418861274
2018-08-27,6.865891862259788,3.462326909639342,167.09300137779454,2.723768836002588,1.9258181724784726,532.5796344041828,244.58091590645978,114.46403919361696,421.5474225731294,178.54254886262726,153.81454222100078,34.68266967759429,-32710.13669072466,-1482.860315267583,79.33814970164592,-1.1220048965357912,-0.19275994293526724,27033484.757338163,14052898.418861274
2018-08-28,6.865891862259788,3.462326909639342,167.85690781446823,2.7285465993240985,1.9067071191924299,543.462354940592,247.07811360642344,114.27612999214284,431.8998295019067,179.39645892074842,155.54266713550078,34.30501265877204,-32710.13669072466,-1482.860315267583,79.33576081998517,-1.1032203077358904,-0.1660222727979605,27043358.86770112,14057255.73901049
2018-08-29,6.865891862259788,3.462326909639342,170.88501872475962,2.7996377083836403,1.8758667895652108,500.6368192484792,239.53199695917553,96.86223506676932,368.00951040667326,182.02474574313038,155.31308569400727,34.49521257913056,-32615.251276571584,-210.48846718513695,79.35603115304644,-1.3134155865739774,-0.22855346075917327,26962960.753111508,14043294.60688649
2018-08-30,6.865891862259788,3.462326909639342,176.03425687007064,2.826664819131997,1.9542944496922656,665.7766804463707,286.9425609142588,135.63046946774605,480.2463079391223,195.76588338932405,158.5228765126909,42.95012718697006,-34782.21277079519,1521.4066195933822,79.43445881317349,-0.8979360590063156,-0.05680587342461794,26677299.94658692,14078353.616031157
2018-08-31,6.865891862259788,3.462326909639342,168.46268426301015,2.797998239202933,1.9829610296213294,603.3657815685779,268.8545902934123,126.1011820692167,461.2170714861222,189.98044760213182,149.7446383728926,39.91011660954511,-34782.21277079519,1521.4066195933822,79.3914589432799,-0.8946512467435653,-0.12143033030021816,26689124.52811862,14086423.258281188
2018-09-01,6.865891862259788,3.462326909639342,168.46268426301015,2.797998239202933,1.9829610296213294,603.3657815685779,268.8545902934123,126.1011820692167,461.2170714861222,189.98044760213182,149.7446383728926,39.91011660954511,-34782.21277079519,1521.4066195933822,79.3914589432799,-0.8946512467435653,-0.12143033030021816,26689124.52811862,14086423.258281188
2018-09-02,6.865891862259788,3.462326909639342,168.46268426301015,2.797998239202933,1.9829610296213294,603.3657815685779,268.8545902934123,126.1011820692167,461.2170714861222,189.98044760213182,149.7446383728926,39.91011660954511,-34782.21277079519,1521.4066195933822,79.3914589432799,-0.8946512467435653,-0.12143033030021816,26689124.52811862,14086423.258281188
2018-09-03,6.865891862259788,3.462326909639342,168.46268426301015,2.797998239202933,1.9829610296213294,603.3657815685779,268.8545902934123,126.1011820692167,461.2170714861222,189.98044760213182,149.7446383728926,39.91011660954511,-34782.21277079519,1521.4066195933822,79.3914589432799,-0.8946512467435653,-0.12143033030021816,26689124.52811862,14086423.258281188
2018-09-04,6.865891862259788,3.462326909639342,168.46268426301015,2.797998239202933,1.9829610296213294,603.3657815685779,268.8545902934123,126.1011820692167,461.2170714861222,189.98044760213182,149.7446383728926,39.91011660954511,-34782.21277079519,1521.4066195933822,79.3914589432799,-0.8946512467435653,-0.12143033030021816,26689124.52811862,14086423.258281188
2018-09-05,6.865891862259788,3.462326909639342,168.46268426301015,2.797998239202933,1.9829610296213294,603.3657815685779,268.8545902934123,126.1011820692167,461.2170714861222,189.98044760213182,149.7446383728926,39.91011660954511,-34782.21277079519,1521.4066195933822,79.3914589432799,-0.8946512467435653,-0.12143033030021816,26689124.52811862,14086423.258281188
2018-09-06,6.865891862259788,3.462326909639342,168.46268426301015,2.797998239202933,1.9829610296213294,603.3657815685779,268.8545902934123,126.1011820692167,461.2170714861222,189.98044760213182,149.7446383728926,39.91011660954511,-34782.21277079519,1521.4066195933822,79.3914589432799,-0.8946512467435653,-0.12143033030021816,26689124.52811862,14086423.258281188
2018-09-07,6.865891862259788,3.462326909639342,168.46268426301015,2.797998239202933,1.9829610296213294,603.3657815685779,268.8545902934123,126.1011820692167,461.2170714861222,189.98044760213182,149.7446383728926,39.91011660954511,-34782.21277079519,1521.4066195933822,79.3914589432799,-0.8946512467435653,-0.12143033030021816,26689124.52811862,14086423.258281188
